,Bilanço Kalemleri,,,,,
Dönen Varlıklar,Nakit ve Nakit Benzerleri,307.172.000,329.780.000,287.972.000,272.639.000,289.405.000
Dönen Varlıklar,Finansal Yatırımlar,57.958.000,63.309.000,76.063.000,67.273.000,39.025.000
Dönen Varlıklar,Ticari Alacaklar,182.259.000,190.600.000,191.737.000,150.748.000,143.442.000
Dönen Varlıklar,Finans Sektörü Faaliyetlerinden Alacaklar,1.006.984.000,970.191.000,936.681.000,832.292.000,696.869.000
Dönen Varlıklar,Türkiye Cumhuriyet Merkez Bankası Hesabı,367.960.000,356.528.000,292.491.000,269.381.000,241.618.000
Dönen Varlıklar,Diğer Alacaklar,19.289.000,25.283.000,18.147.000,28.507.000,21.929.000
Dönen Varlıklar,Türev Araçlar,8.797.000,15.227.000,8.204.000,15.455.000,10.467.000
Dönen Varlıklar,Stoklar,166.226.000,179.501.000,173.200.000,145.366.000,115.828.000
Dönen Varlıklar,Diğer Dönen Varlıklar,222.039.000,232.929.000,213.194.000,175.804.000,148.143.000
Dönen Varlıklar,Satış Amacıyla Elde Tutulan Duran Varlıklar,0,0,0,283.000,5.652.000
Dönen Varlıklar,Toplam Dönen Varlıklar,2.338.684.000,2.363.348.000,2.197.689.000,1.957.748.000,1.712.378.000
Duran Varlıklar,Finansal Yatırımlar,478.033.000,455.227.000,442.840.000,430.198.000,388.151.000
Duran Varlıklar,Ticari Alacaklar,1.305.000,1.414.000,1.095.000,1.034.000,1.011.000
Duran Varlıklar,Finans Sektörü Faaliyetlerinden Alacaklar,336.171.000,320.831.000,299.038.000,291.399.000,263.130.000
Duran Varlıklar,Türev Araçlar,9.937.000,9.997.000,12.219.000,14.385.000,13.685.000
Duran Varlıklar,Özkaynak Yöntemiyle Değerlenen Yatırımlar,99.618.000,91.768.000,80.670.000,76.930.000,69.044.000
Duran Varlıklar,Yatırım Amaçlı Gayrimenkuller,2.764.000,3.597.000,3.321.000,2.837.000,2.483.000
Duran Varlıklar,Maddi Duran Varlıklar,425.860.000,397.661.000,362.945.000,313.863.000,275.854.000
Duran Varlıklar,Maddi Olmayan Duran Varlıklar,152.173.000,143.317.000,128.032.000,110.623.000,96.602.000
Duran Varlıklar,Ertelenmiş Vergi Varlığı,30.398.000,32.284.000,32.025.000,23.795.000,20.304.000
