,Bilanço Kalemleri,,,,,
Dönen Varlıklar,Nakit ve Nakit Benzerleri,1.101.664,1.008.793,1.018.365,1.359.453,732.202
Dönen Varlıklar,Finansal Yatırımlar,2.014.828,1.530.689,1.127.386,1.015.697,762.309
Dönen Varlıklar,Ticari Alacaklar,5.013.332,5.271.712,4.683.053,3.495.096,2.829.549
Dönen Varlıklar,Diğer Alacaklar,144.668,84.136,298.124,682.217,28.075
Dönen Varlıklar,Peşin Ödenmiş Giderler,18.755,21.136,28.477,22.742,7.076
Dönen Varlıklar,Cari Dönem Vergisiyle İlgili Varlıklar,100,106,83,,
Dönen Varlıklar,Diğer Dönen Varlıklar,4.263,4.887,3.159,2.143,2.507
Dönen Varlıklar,Toplam Dönen Varlıklar,8.297.508,7.921.459,7.158.647,6.577.347,4.361.719
Duran Varlıklar,Finansal Yatırımlar,47.811,45.035,55.160,55.436,33.096
Duran Varlıklar,Diğer Alacaklar,15.106,18.031,16.292,7.707,15.282
Duran Varlıklar,Yatırım Amaçlı Gayrimenkuller,21.179,20.591,19.824,19.157,18.118
Duran Varlıklar,Proje Halindeki Yatırım Amaçlı Gayrimenkuller,,,,,
Duran Varlıklar,Maddi Duran Varlıklar,240.778,140.151,122.315,116.191,106.097
Duran Varlıklar,Kullanım Hakkı Varlıkları,12.020,13.232,13.108,11.735,12.762
Duran Varlıklar,Maddi Olmayan Duran Varlıklar,4.887,5.362,5.900,6.344,6.278
Duran Varlıklar,Ertelenmiş Vergi Varlığı,,,,,100
Duran Varlıklar,Toplam Duran Varlıklar,341.782,242.403,232.600,216.570,191.633
Duran Varlıklar,Toplam Varlıklar,8.639.290,8.163.861,7.391.246,6.793.917,4.553.352
Kısa Vadeli Yükümlülükler,Finansal Borçlar,1.802.143,2.042.740,1.521.780,1.235.937,738.924
Kısa Vadeli Yükümlülükler,Diğer Finansal Yükümlülükler,,,,,
Kısa Vadeli Yükümlülükler,Ticari Borçlar,2.439.773,2.324.062,2.073.255,2.036.968,1.025.642
Kısa Vadeli Yükümlülükler,Finans Sektörü Faaliyetlerinden Borçlar,,,,,
Kısa Vadeli Yükümlülükler,Çalışanlara Sağlanan Faydalar Kapsamında Borçlar,14.020,11.487,14.203,13.233,14.985
Kısa Vadeli Yükümlülükler,Diğer Borçlar,50.377,90.526,58.222,103.756,38.620
Kısa Vadeli Yükümlülükler,Müşteri Sözleşmelerinden Doğan Yükümlülükler,,,,,
Kısa Vadeli Yükümlülükler,Ertelenmiş Gelirler,6.295,6.680,7.349,7.968,1.496
Kısa Vadeli Yükümlülükler,Dönem Karı Vergi Yükümlülüğü,72.485,99.427,155.573,197.660,120.211
Kısa Vadeli Yükümlülükler,Kısa Vadeli Karşılıklar,28.063,103.750,99.266,90.642,29.320
Kısa Vadeli Yükümlülükler,Toplam Kısa Vadeli Yükümlülükler,4.413.157,4.678.672,3.929.647,3.686.165,1.969.198
Uzun Vadeli Yükümlülükler,Finansal Borçlar,9.134,10.206,11.241,12.237,13.192
Uzun Vadeli Yükümlülükler,Ticari Borçlar,,,,,
Uzun Vadeli Yükümlülükler,Çalışanlara Sağlanan Faydalar Kapsamında Borçlar,,,,,
Uzun Vadeli Yükümlülükler,Uzun vadeli Karşılıklar,9.773,10.277,9.258,10.252,5.344
Uzun Vadeli Yükümlülükler,Ertelenmiş Vergi Yükümlülüğü,141.388,8.385,84.299,33.876,5.031
Uzun Vadeli Yükümlülükler,Diğer Uzun Vadeli Yükümlülükler,,,,,
Uzun Vadeli Yükümlülükler,Toplam Uzun Vadeli Yükümlülükler,160.296,28.869,104.799,56.365,23.567
Özkaynaklar,Ana Ortaklığa Ait Özkaynaklar,4.065.838,3.456.321,3.356.800,3.051.387,2.560.587
Özkaynaklar,Ödenmiş Sermaye,135.000,135.000,135.000,135.000,135.000
Özkaynaklar,Sermaye Düzeltme Farkları,673.919,626.192,563.857,509.673,425.275
Özkaynaklar,Pay Sahiplerinin İlave Sermaye Katkıları,,,,,
Özkaynaklar,Karşılıklı İştirak Sermaye Düzeltmesi (-),,,,,
Özkaynaklar,Paylara İlişkin Primler (İskontolar),1.668.918,1.570.451,1.441.845,1.330.055,1.155.930
Özkaynaklar,Kar veya Zararda Yeniden Sınıflandırılmayacak Birikmiş Diğer Kapsamlı Gelirler (Giderler),1.063,1.678,1.429,1.267,1.424
Özkaynaklar,Kar veya Zararda Yeniden Sınıflandırılacak Birikmiş Diğer Kapsamlı Gelirler (Giderler),,,,,100
Özkaynaklar,Kardan Ayrılan Kısıtlanmış Yedekler,91.305,85.918,78.882,20.072,63.240
Özkaynaklar,Geçmiş Yıllar Kar/Zararları,1.125.747,1.059.327,972.578,949.866,904.389
Özkaynaklar,Dönem Net Kar/Zararı,369.886,22.245,163.209,105.455,124.671
Özkaynaklar,Toplam Özkaynaklar,4.065.838,3.456.321,3.356.800,3.051.387,2.560.587
Özkaynaklar,Toplam Kaynaklar,8.639.290,8.163.861,7.391.246,6.793.917,4.553.352
Özkaynaklar,Hedge Dahil Net Yabancı Para Pozisyonu,603.526,669.626,679.403,,
